claim_id,similarity,discrepancy,fraud_label,fraud_flag
CLM011,0.2451181709766388,0.7548818290233612,1,True
CLM007,0.3545587956905365,0.6454412043094635,0,True
CLM006,0.3868180811405182,0.6131819188594818,1,True
CLM014,0.43361562490463257,0.5663843750953674,0,True
CLM001,0.46486085653305054,0.5351391434669495,0,True
CLM003,0.4923161566257477,0.5076838433742523,1,True
CLM013,0.5051958560943604,0.49480414390563965,0,True
CLM002,0.5143604874610901,0.4856395125389099,0,True
CLM004,0.5143604874610901,0.4856395125389099,0,True
CLM005,0.5678647756576538,0.4321352243423462,0,True
CLM010,0.5678647756576538,0.4321352243423462,1,True
CLM015,0.5678647756576538,0.4321352243423462,0,True
CLM009,0.5934979915618896,0.40650200843811035,1,True
CLM012,0.6013713479042053,0.3986286520957947,0,False
CLM008,0.6568493843078613,0.34315061569213867,1,False
