claim_id,verification_score,fraud_label,normalized_score,fraud_flag
CLM015,-0.8310677409172058,0,1.0,False
CLM001,-7.864964485168457,0,0.1821472668914981,True
CLM002,-6.410930633544922,0,0.35121223938409296,True
CLM003,-8.46834945678711,1,0.11198984688697101,True
CLM004,-6.410930633544922,0,0.35121223938409296,True
CLM005,-0.8310677409172058,0,1.0,False
CLM006,-5.159446716308594,1,0.49672611019682383,False
CLM007,-7.670719146728516,0,0.20473276774726917,True
CLM008,-7.596170902252197,1,0.21340072062036583,True
CLM009,-8.520963668823242,1,0.10587223119275854,True
CLM010,-0.8310677409172058,1,1.0,False
CLM011,-6.710953235626221,1,0.316327691881024,True
CLM012,-3.0295679569244385,0,0.7443736415564134,False
CLM013,-9.320751190185547,0,0.012878484762398596,True
CLM014,-9.431511878967285,0,0.0,True
CLM015,-0.8310677409172058,0,1.0,False
