faithfulness,answer_relevancy,context_recall,rag_health_score,rag_health_label
1.0,0.771484375,0.9466171264648438,0.9060338338216146,Excellent
1.0,0.8592192530632019,0.9839118123054504,0.9477103551228842,Excellent
1.0,0.7734070420265198,0.9999999403953552,0.924468994140625,Excellent
1.0,0.7005661725997925,0.9612042903900146,0.8872568209966024,Good
1.0,0.7739660739898682,0.9755457639694214,0.9165039459864298,Excellent
1.0,0.8113327026367188,0.9726184010505676,0.9279837012290955,Excellent
1.0,0.8487023115158081,0.9749476909637451,0.9412166674931844,Excellent
1.0,0.8622170686721802,0.9799981117248535,0.9474050601323446,Excellent
0.0,0.1324259042739868,0.5051653385162354,0.21253041426340738,Poor
0.0,0.1155107840895652,0.5051653385162354,0.20689204086860016,Poor
0.0,0.1222258359193801,0.5051653385162354,0.20913039147853849,Poor
0.0,0.1391331702470779,0.5051653385162354,0.2147661695877711,Poor
0.0,0.1265285909175872,0.5051653385162354,0.21056464314460752,Poor
0.0,0.1692369878292083,0.5051653385162354,0.2248007754484812,Poor
0.0,0.1637061238288879,0.5051653385162354,0.2229571541150411,Poor
0.0,0.1621166616678238,0.5051653385162354,0.22242733339468637,Poor
0.0,0.1547243893146515,0.5051653385162354,0.21996324261029562,Poor
0.0,0.1837394088506698,0.5051653385162354,0.2296349157889684,Poor
0.0,0.2202817797660827,0.5051653385162354,0.24181570609410605,Poor
0.0,0.2035855054855346,0.5051653385162354,0.23625028133392334,Poor
