user_id,item_id,title,category,rank
101,10,Large Language Models,Artificial Intelligence,1
101,10,Large Language Models,Artificial Intelligence,2
101,10,Large Language Models,Artificial Intelligence,3
101,10,Large Language Models,Artificial Intelligence,4
101,10,Large Language Models,Artificial Intelligence,5
102,10,Large Language Models,Artificial Intelligence,1
102,10,Large Language Models,Artificial Intelligence,2
102,10,Large Language Models,Artificial Intelligence,3
102,10,Large Language Models,Artificial Intelligence,4
102,10,Large Language Models,Artificial Intelligence,5
103,10,Large Language Models,Artificial Intelligence,1
103,10,Large Language Models,Artificial Intelligence,2
103,10,Large Language Models,Artificial Intelligence,3
103,10,Large Language Models,Artificial Intelligence,4
103,10,Large Language Models,Artificial Intelligence,5
105,10,Large Language Models,Artificial Intelligence,1
105,10,Large Language Models,Artificial Intelligence,2
105,10,Large Language Models,Artificial Intelligence,3
105,10,Large Language Models,Artificial Intelligence,4
105,10,Large Language Models,Artificial Intelligence,5
